id,kind,name,author,sha256,symbol,timeframe,data_symbol,data_timeframe,window_from,window_to,window_bars,frozen_input,compiled,compile_error,ohlcv_ok,tv_ok,tv_cached,tv_bars,pyne_ok,pyne_error,is_strategy,pyne_run_sec,pyne_ms_per_bar,pyne_wall_sec,tv_wall_sec,tv_compile_sec,tv_bench_bars,bench_ratio,plot_common_cols,plot_bars_joined,plot_match_pct,plot_na_match_pct,plot_bars_numeric,plot_num_match_pct,plot_na_struct_mismatch,plot_exact_pct,plot_max_ulp,plot_fidelity,transcendentals,plot_worst_col,plot_worst_match_pct,plot_max_abs,plot_max_rel,plot_nrmse_range_med,plot_nrmse_iqr_med,plot_pearson_min,plot_first_divergence_ts,plot_repaint,plot_repaint_shift,plot_repaint_match_pct,trades_tv,trades_pc,entry_match_pct,exit_match_pct,trade_match_pct,qty_match_pct,pc_extra_entries,pc_missing_entries,tv_net_profit,pc_net_profit,net_profit_match,net_profit_rel_err,tv_net_profit_pct,pc_net_profit_pct,tie_excluded,tie_excluded_reason,trade_match_pct_adj,tv_net_profit_adj,pc_net_profit_adj,net_profit_match_adj,net_profit_rel_err_adj,uses_request_security,sec_contexts,sec_series,data_limited,data_limited_reason,uses_lookahead,repaints,repaint_channel,la_plot_match_pct,la_plot_exact_pct,la_trade_match_pct,la_net_profit_match,status,fail_stage,compared_at
PUB;50b4566eddd04de3be2a3cb031dc4ebd,indicator, Machine Learning RSI ║ BullVision,BullVisionCapital,fbccf15035f67b2582f0e1dc5c126699a4412edbb77c880944a172f9cd02f3fa,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-23T08:30:00+00:00,28770,1,1,,1,1,1,28771,1,,0,83.208,2.8922,,,,,,8,28770,1.0,1.0,230144,1.0,0,1.0,0,exact,asin;exp;log;pow,RSI KNN,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;42af0c00136b444b918a15e6cb30e896,indicator,%R Trend Exhaustion [upslidedown],upslidedown,a366e41800ec933437ce47677cb244f4a7b6ba4f09f4ed42b485d4bdb51895a5,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-07-30T08:00:00+00:00,27617,1,1,,1,1,1,27618,1,,0,8.888,0.3218,,,,,,18,27617,1.0,1.0,143464,1.0,0,1.0,0,exact,log10;pow,Fast Period %R,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;mfpeBvtOH6Zcqe54ECLBthMZqWS2l21J,indicator,72s: Adaptive Hull Moving Average+,io72signals,f28be1eaffa3cb6bc27006f81304b014fbd39d660643076c75c3a84bb6b15de8,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-23T08:30:00+00:00,28770,1,1,,1,1,1,28771,1,,0,2.794,0.0971,,,,,,12,28722,1.0,1.0,59313,1.0,0,1.0,0,exact,acos;atan,Dynamic HMA+,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;932,indicator,ADX and DI,BeikabuOyaji,4bff7f7d020c876fefaee2d3d173b892156af915fc6713caa8974645284d87cc,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-07T15:30:00+00:00,28016,1,1,,1,1,1,28017,1,,0,1.012,0.0361,,,,,,3,28016,1.0,1.0,84035,1.0,0,1.0,0,exact,,DI+,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;59699e73854c47c4863b11d55598449f,indicator,AI Trend Navigator [K-Neighbor],Zeiierman,7495f8d4919ddbcf489efa6b069a10b8bc5147aef672d9839eeb1fcc0ce541e2,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-25T09:00:00+00:00,28867,1,1,,1,1,1,28868,1,,0,1.558,0.054,,,,,,2,28867,1.0,1.0,57681,1.0,0,0.902897,8,libm,pow,Knn Classifier Line,1.0,1.164e-10,1.319e-15,9.998e-17,2.525e-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;d48234236f7345c09e3d9017f8c31070,indicator,ATR Stop Loss Finder,veryfid,b84210ac4fb8b161be1dc27c959919b632c3c1cd0f87f2f1398f9e73a778f4fb,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-14T22:30:00+00:00,28366,1,1,,1,1,1,28367,1,,0,0.774,0.0273,,,,,,2,28366,1.0,1.0,56706,1.0,0,1.0,0,exact,,ATR Short Stop Loss,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;87158567b731451c8a1347f953921ab7,indicator,Adaptive Trend Flow [QuantAlgo],QuantAlgo,1ea54098575274f28045d2d70e8169513a1d15b6bad7bcf8771093c8fe2b9b44,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-07-30T08:00:00+00:00,27617,1,1,,1,1,1,27618,1,,0,1.037,0.0375,,,,,,3,27617,1.0,1.0,82788,1.0,0,1.0,0,exact,,Plot,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;a6b9fdb570244e3db61b0e74ddbba94f,indicator,AlphaTrend,KivancOzbilgic,c68d17f23ea609725a3792ccd0407bb9b2bf79f7a1214dbc29ac3881cf619e13,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-09T21:30:00+00:00,28124,1,1,,1,1,1,28125,1,,0,1.297,0.0461,,,,,,4,28124,1.0,1.0,56867,1.0,0,1.0,0,exact,,Plot,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,0,,,,,,,ok,,2026-08-25
PUB;31541b6c62434344b1c6b67359d0b346,indicator,AlphaTrend - Screener,KivancOzbilgic,0389f466700c05fec7b3cb24996619bba87bc5d834ce275eb9dab72eccb1df98,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-23T20:30:00+00:00,28794,1,1,,1,1,1,28795,1,,0,342.319,11.8885,,,,,,4,28794,1.0,1.0,58229,1.0,0,1.0,0,exact,,AlphaTrend,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,"[{""symbol"": ""BINANCE:ETHUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:BNBUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:ADAUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:AVAXUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:CHZUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:DOGEUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:SOLUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:TRXUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""BINANCE:XRPUSDT"", ""timeframe"": ""30"", ""from"": ""2025-01-01T00:00:00+00:00"", ""to"": ""2026-08-23T20:30:00+00:00"", ""bars"": 28794}, {""symbol"": ""NASDAQ:AAPL"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21603}, {""symbol"": ""NASDAQ:TSLA"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21600}, {""symbol"": ""NASDAQ:AMZN"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21600}, {""symbol"": ""NASDAQ:GOOGL"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21566}, {""symbol"": ""NASDAQ:NVDA"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21601}, {""symbol"": ""NASDAQ:META"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21602}, {""symbol"": ""NYSE:C"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21599}, {""symbol"": ""NASDAQ:NFLX"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21601}, {""symbol"": ""NYSE:BABA"", ""timeframe"": ""30"", ""from"": ""2020-01-02T14:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 21604}, {""symbol"": ""NASDAQ:ABNB"", ""timeframe"": ""30"", ""from"": ""2020-12-10T18:30:00+00:00"", ""to"": ""2026-08-21T19:30:00+00:00"", ""bars"": 18508}]",0,,0,,,,,,,ok,,2026-08-25
PUB;4MRTYS5MfEBM6NjXGqBWeqXNJPxQALX8,indicator,Angle Attack Follow Line Indicator ,Dreadblitz,3cbdc1eab07786e6aeca1492ed3e984cddda0ee557012443f7405bf207baeb76,BINANCE:BTCUSDT,30,BINANCE:BTCUSDT,30,2025-01-01T00:00:00+00:00,2026-08-25T09:00:00+00:00,28867,1,1,,1,1,1,28868,1,,0,8.424,0.2918,,,,,,16,28867,1.0,1.0,61189,1.0,0,0.96233,2,libm,atan;pow,Angle Follow Line,1.0,2.842e-14,4.403e-16,1.631e-16,5.006e-16,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,0,,0,,,,,,,ok,,2026-08-25
